,Product Name,Supported_apps,sound_system,OS,Resolution,Price,Rating
0,HP HP Envy Intel EVO Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 13-ba1501TX T...,Intel Core i5 Processor (11th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,"₹76,999",4.3
1,Lenovo Yoga Slim 7 Intel EVO Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home) Yoga Slim 7 14ITL05b ...,Intel Core i7 Processor (11th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,"₹1,02,990",4.4
2,ASUS VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X515JA-BQ302W Thin and Light Lapto...,Intel Core i3 Processor (10th Gen),1 TB HDD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹29,990",3.5
3,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,Intel Core i3 Processor (10th Gen),256 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,"₹35,990",4.3
4,HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop,AMD Ryzen 3 Dual Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹34,990",4.3
5,Lenovo Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,Intel Core i3 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹38,990",4.4
6,ASUS VivoBook 15 (2022) Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ332WS T...,Intel Core i3 Processor (11th Gen),1 TB HDD|256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹39,990",4.3
7,MSI Stealth 15M Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 30...,Intel Core i7 Processor (11th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,"₹1,20,990",4.2
8,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹41,990",4.3
9,HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s- dy2506TU Thin and Light Laptop,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹38,990",4.3
10,ASUS VivoBook 15 (2022) Celeron Quad Core - (4 GB/256 GB SSD/Windows 11 Home) X515MA-BR011W Thin and L...,Intel Celeron Quad Core Processor,256 GB SSD,4 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹26,990",4.1
11,lenovo Ideapad Flex 5 Core i5 11th Gen Intel EVO - (8 GB/512 GB SSD/Windows 10 Home) 5 14ITL05 2 in 1 ...,Intel Evo platform feat 11th Gen Intel Core i5 processor,64 bit Windows 10 Operating System,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,"₹70,999",4.2
12,ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹37,990",4.4
13,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and L...,Intel Core i3 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹36,990",4.3
14,DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,AMD Athlon Dual Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹30,990",4.3
15,ASUS ZenBook Duo 14 (2021) Touch Panel Intel EVO Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home) U...,Intel Core i7 Processor (11th Gen),1 TB SSD,16 GB LPDDR4X RAM,64 bit Windows 10 Operating System,"₹1,19,990",4.5
16,Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,Intel Core i3 Processor (10th Gen),256 GB SSD,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,"₹29,990",4.3
17,"DELL Vostro Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3510, X9K0T Thin and ...",Intel Core i3 Processor (10th Gen),1 TB HDD|256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹39,990",4.2
18,HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1092au Thin and Light Laptop,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹48,990",4.4
19,acer Intel EVO Swift 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) SF314-511 Thin and Light L...,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,"₹60,990",4.5
20,ASUS VivoBook Ultra 14 (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X413EA-EB321WS Thin...,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹42,990",4.4
21,ASUS VivoBook Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X415EA-EK342WS Thin and Light Lapto...,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹34,990",4.1
22,ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,Intel Celeron Dual Core Processor,256 GB SSD,4 GB DDR4 RAM,64 bit Windows 11 Operating System,"₹25,990",3.9
23,HP HP Envy Intel EVO Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/2 GB Graphics) 13-ba1505TX Thi...,Intel Core i7 Processor (11th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,"₹98,190",3.7
